Hospital_ID,Hospital_Name,Date,Total_Beds,Occupied_Beds,Available_Beds,Total_Admissions,Total_Discharges,Emergency_Admissions,Outpatient_Visits
H007,Unity Wellness Hospital,2025-10-20,221,201,20,19,28.0,9.0,180.0
H002,CityCare Medical Center,2025-08-06,207,135,72,27,30.0,6.0,147.0
H005,PrimeCare Hospital,2025-11-20,275,212,63,39,10.0,6.0,153.0
H004,HealthFirst Medical Institute,11-04-2025,290,186,104,38,25.0,11.0,139.0
H002,CityCare Medical Center,2025-12-07,207,119,88,23,9.0,17.0,77.0
H005,PrimeCare Hospital,2025-06-11,275,132,143,24,32.0,12.0,136.0
H005,PrimeCare Hospital,2025-04-26,275,186,89,20,19.0,10.0,135.0
H007,Unity Wellness Hospital,2025-01-28,221,158,63,26,0.0,8.0,184.0
H001,MedCare General Hospital,2025-10-19,477,242,235,31,34.0,10.0,146.0
H001,MedCare General Hospital,2025-05-22,477,378,99,14,7.0,14.0,187.0
H003,LifeLine Hospital,2025-10-25,162,117,45,28,,11.0,93.0
H005,PrimeCare Hospital,2025-11-15,275,188,87,29,15.0,5.0,75.0
H007,Unity Wellness Hospital,2025-03-28,221,171,50,24,12.0,3.0,111.0
H005,PrimeCare Hospital,2025-12-27,275,186,89,33,35.0,11.0,80.0
H002,CityCare Medical Center,2025-09-30,207,182,25,15,31.0,12.0,193.0
H004,HealthFirst Medical Institute,2025-04-16,290,170,120,19,19.0,5.0,111.0
H006,Sunrise Community Hospital,2025-04-15,264,180,84,29,26.0,8.0,128.0
H002,CityCare Medical Center,2025-05-23,207,141,66,32,14.0,12.0,122.0
H004,HealthFirst Medical Institute,2025-01-20,290,208,82,20,21.0,7.0,80.0
H007,Unity Wellness Hospital,2025-09-06,221,171,50,33,30.0,10.0,148.0
H005,PrimeCare Hospital,2025-06-10,275,118,157,19,9.0,7.0,73.0
H001,MedCare General Hospital,2025-09-05,477,437,40,38,28.0,6.0,185.0
H003,LifeLine Hospital,2025-02-26,162,129,33,37,30.0,12.0,122.0
H004,HealthFirst Medical Institute,2025-01-16,290,174,116,28,29.0,8.0,117.0
H005,PrimeCare Hospital,2025-04-12,275,179,96,28,37.0,15.0,43.0
H006,Sunrise Community Hospital,2025-11-23,264,189,75,23,27.0,8.0,83.0
H001,MedCare General Hospital,2025-12-14,477,250,227,16,31.0,4.0,188.0
H002,CityCare Medical Center,2025-08-20,207,155,52,35,26.0,11.0,53.0
H003,LifeLine Hospital,2025-01-26,162,125,37,10,7.0,4.0,116.0
H001,MedCare General Hospital,2025-01-30,477,388,89,15,28.0,3.0,131.0
H005,PrimeCare Hospital,2025-01-29,275,256,19,47,30.0,9.0,48.0
H005,PrimeCare Hospital,2025-04-05,275,227,48,23,27.0,7.0,152.0
H003,LifeLine Hospital,2025-01-13,162,88,74,14,6.0,10.0,160.0
H007,Unity Wellness Hospital,2025-08-26,221,170,51,24,16.0,9.0,159.0
H007,Unity Wellness Hospital,2025-04-18,221,158,63,5,18.0,4.0,168.0
H005,PrimeCare Hospital,2025-04-16,275,236,39,24,25.0,8.0,74.0
H002,CityCare Medical Center,2025-05-11,207,166,41,23,13.0,14.0,147.0
H001,MedCare General Hospital,2025-06-07,477,405,72,31,23.0,10.0,53.0
H003,LifeLine Hospital,11/11/2025,162,151,11,25,16.0,8.0,237.0
H004,HealthFirst Medical Institute,2025-09-14,290,125,165,27,40.0,10.0,126.0
H002,CityCare Medical Center,2025-09-13,207,131,76,31,32.0,15.0,90.0
H005,PrimeCare Hospital,2025-08-30,275,187,88,33,19.0,5.0,143.0
H003,LifeLine Hospital,2025-01-19,162,102,60,29,25.0,10.0,80.0
H001,MedCare General Hospital,2025-11-29,477,418,59,24,19.0,0.0,171.0
H006,Sunrise Community Hospital,2025-03-08,264,166,98,31,32.0,9.0,111.0
H007,Unity Wellness Hospital,2025-02-24,221,134,87,22,10.0,8.0,154.0
H003,LifeLine Hospital,2025-12-30,162,116,46,27,21.0,9.0,124.0
H006,Sunrise Community Hospital,2025-11-30,264,181,83,21,27.0,9.0,154.0
H004,HealthFirst Medical Institute,2025-07-13,290,142,148,23,31.0,3.0,151.0
H005,PrimeCare Hospital,2025-12-24,275,184,91,41,22.0,16.0,96.0
H001,MedCare General Hospital,2025-12-20,477,295,182,42,24.0,8.0,142.0
H006,Sunrise Community Hospital,2025-09-14,264,223,41,25,33.0,5.0,127.0
H001,MedCare General Hospital,2025-07-28,477,439,38,21,23.0,13.0,113.0
H005,PrimeCare Hospital,2025-10-12,275,187,88,26,26.0,10.0,114.0
H007,Unity Wellness Hospital,2025-06-19,221,144,77,10,37.0,5.0,60.0
H003,LifeLine Hospital,2025-03-10,162,83,79,21,30.0,1.0,37.0
H004,HealthFirst Medical Institute,2025-11-09,290,251,39,12,5.0,5.0,88.0
H007,Unity Wellness Hospital,2025-01-14,221,161,60,23,13.0,6.0,172.0
H003,LifeLine Hospital,2025-04-26,162,126,36,39,26.0,10.0,120.0
H005,PrimeCare Hospital,2025-02-18,275,218,57,24,34.0,12.0,162.0
H004,HealthFirst Medical Institute,2025-11-21,290,149,141,46,16.0,8.0,63.0
H006,Sunrise Community Hospital,2025-08-09,264,219,45,19,19.0,9.0,87.0
H006,Sunrise Community Hospital,2025-02-03,264,168,96,27,27.0,2.0,198.0
H002,CityCare Medical Center,2025-05-12,207,133,74,38,17.0,16.0,98.0
H005,PrimeCare Hospital,2025-09-14,275,203,72,20,29.0,2.0,109.0
H002,CityCare Medical Center,2025-10-20,207,186,21,22,18.0,8.0,108.0
H001,MedCare General Hospital,2025-07-19,477,327,150,39,19.0,11.0,142.0
H001,MedCare General Hospital,2025-08-18,477,344,133,16,36.0,3.0,86.0
H006,Sunrise Community Hospital,2025-01-31,264,130,134,21,20.0,10.0,107.0
H002,CityCare Medical Center,2025-04-09,207,159,48,31,19.0,6.0,75.0
H006,Sunrise Community Hospital,2025-03-28,264,253,11,13,19.0,11.0,106.0
H003,LifeLine Hospital,2025-07-02,162,95,67,38,25.0,5.0,151.0
H007,Unity Wellness Hospital,2025-05-01,221,192,29,24,33.0,13.0,137.0
H004,HealthFirst Medical Institute,2025-08-24,290,217,73,22,26.0,6.0,98.0
H001,MedCare General Hospital,2025-11-12,477,341,136,12,18.0,12.0,87.0
H007,Unity Wellness Hospital,2025-09-24,221,213,8,21,30.0,11.0,114.0
H007,Unity Wellness Hospital,2025-01-30,221,175,46,14,28.0,9.0,112.0
H006,Sunrise Community Hospital,2025-05-10,264,92,172,27,22.0,3.0,107.0
H001,MedCare General Hospital,2025-03-11,477,356,121,13,18.0,3.0,111.0
H003,LifeLine Hospital,2025-04-17,162,122,40,20,19.0,5.0,100.0
H007,Unity Wellness Hospital,2025-08-30,221,133,88,25,18.0,11.0,126.0
H001,MedCare General Hospital,2025-05-16,477,298,179,16,31.0,16.0,170.0
H003,LifeLine Hospital,2025-04-02,162,121,41,22,22.0,14.0,129.0
H007,Unity Wellness Hospital,2025-01-19,221,145,76,15,32.0,8.0,119.0
H004,HealthFirst Medical Institute,2025-12-16,290,247,43,6,48.0,6.0,119.0
H004,HealthFirst Medical Institute,2025-04-02,290,175,115,18,5.0,9.0,186.0
H004,HealthFirst Medical Institute,2025-03-26,290,243,47,12,24.0,12.0,163.0
H001,MedCare General Hospital,2025-08-20,477,401,76,19,31.0,18.0,107.0
H002,CityCare Medical Center,2025-06-03,207,179,28,21,24.0,8.0,153.0
H005,PrimeCare Hospital,2025-09-12,275,174,101,28,33.0,10.0,114.0
H004,HealthFirst Medical Institute,2025-02-12,290,156,134,35,13.0,7.0,113.0
H005,PrimeCare Hospital,2025-09-26,275,251,24,18,25.0,13.0,130.0
H001,MedCare General Hospital,2025-06-22,477,355,122,12,38.0,12.0,95.0
H007,Unity Wellness Hospital,2025-11-17,221,172,49,12,28.0,11.0,102.0
H002,CityCare Medical Center,2025-09-11,207,103,104,31,27.0,8.0,85.0
H002,CityCare Medical Center,2025-05-01,207,161,46,29,32.0,8.0,106.0
H002,CityCare Medical Center,2025/04/28,207,169,38,37,16.0,4.0,160.0
H007,Unity Wellness Hospital,2025-05-29,221,143,78,39,20.0,14.0,99.0
H004,HealthFirst Medical Institute,2025-03-24,290,266,24,19,5.0,5.0,105.0
H001,MedCare General Hospital,2025-10-07,477,354,123,14,33.0,5.0,93.0
H002,CityCare Medical Center,2025-06-06,207,144,63,20,31.0,0.0,170.0
H003,LifeLine Hospital,2025-05-13,162,117,45,11,27.0,10.0,103.0
H002,CityCare Medical Center,2025-04-25,207,113,94,17,25.0,4.0,122.0
H005,PrimeCare Hospital,2025-11-04,275,197,78,20,35.0,3.0,143.0
H006,Sunrise Community Hospital,2025-10-03,264,238,26,35,24.0,12.0,120.0
H004,HealthFirst Medical Institute,2025-05-15,290,201,89,25,12.0,7.0,130.0
H001,MedCare General Hospital,2025-11-19,477,326,151,12,23.0,12.0,112.0
H004,HealthFirst Medical Institute,2025-02-24,290,221,69,21,23.0,9.0,80.0
H002,CityCare Medical Center,2025-07-23,207,156,51,12,14.0,12.0,128.0
H002,CityCare Medical Center,2025-06-12,207,175,32,26,15.0,12.0,135.0
H006,Sunrise Community Hospital,2025-11-02,264,183,81,26,10.0,7.0,85.0
H003,LifeLine Hospital,2025-05-25,162,82,80,20,25.0,4.0,159.0
H001,MedCare General Hospital,2025-09-15,477,267,210,10,15.0,10.0,33.0
H002,CityCare Medical Center,2025-02-13,207,131,76,21,25.0,6.0,87.0
H007,Unity Wellness Hospital,2025-05-17,221,198,23,22,26.0,18.0,159.0
H002,CityCare Medical Center,2025-03-17,207,193,14,23,13.0,11.0,81.0
H001,MedCare General Hospital,2025-03-18,477,295,182,20,19.0,0.0,89.0
H007,Unity Wellness Hospital,2025-11-18,221,119,102,25,15.0,8.0,61.0
H006,Sunrise Community Hospital,2025-01-16,264,242,22,21,21.0,7.0,75.0
H003,LifeLine Hospital,2025-05-18,162,104,58,11,7.0,11.0,107.0
H006,Sunrise Community Hospital,2025-03-13,264,208,56,21,26.0,3.0,60.0
H006,Sunrise Community Hospital,2025-12-30,264,154,110,16,21.0,11.0,156.0
H004,HealthFirst Medical Institute,2025-09-18,290,237,53,31,30.0,10.0,113.0
H003,LifeLine Hospital,2025-01-12,162,122,40,20,27.0,14.0,121.0
H002,CityCare Medical Center,2025-05-02,207,163,44,16,22.0,8.0,129.0
H004,HealthFirst Medical Institute,2025-03-08,290,213,77,6,45.0,6.0,110.0
H001,MedCare General Hospital,2025-05-30,477,301,176,26,19.0,5.0,63.0
H007,Unity Wellness Hospital,2025-08-09,221,187,34,33,18.0,13.0,113.0
H007,Unity Wellness Hospital,2025-11-23,221,168,53,21,36.0,8.0,92.0
H007,Unity Wellness Hospital,2025-11-02,221,195,26,23,28.0,7.0,48.0
H004,HealthFirst Medical Institute,2025-01-19,290,232,58,33,26.0,11.0,80.0
H006,Sunrise Community Hospital,2025-11-16,264,183,81,9,24.0,9.0,145.0
H007,Unity Wellness Hospital,2025-07-24,221,166,55,13,17.0,5.0,93.0
H004,HealthFirst Medical Institute,2025-10-26,290,227,63,20,23.0,8.0,153.0
H007,Unity Wellness Hospital,2025-10-19,221,161,60,31,17.0,5.0,45.0
H002,CityCare Medical Center,2025-10-13,207,164,43,27,32.0,11.0,134.0
H002,CityCare Medical Center,2025-03-15,207,109,98,28,13.0,17.0,127.0
H002,CityCare Medical Center,2025-04-03,207,160,47,31,19.0,7.0,176.0
H001,MedCare General Hospital,2025-06-13,477,258,219,27,24.0,12.0,162.0
H002,CityCare Medical Center,2025-02-07,207,109,98,18,16.0,5.0,153.0
H004,HealthFirst Medical Institute,2025-02-08,290,158,132,30,10.0,11.0,173.0
H002,CityCare Medical Center,2025-06-15,207,126,81,37,32.0,11.0,93.0
H005,PrimeCare Hospital,2025-07-10,275,184,91,16,15.0,1.0,124.0
H001,MedCare General Hospital,2025-06-16,477,266,211,17,17.0,4.0,118.0
H005,PrimeCare Hospital,2025-07-30,275,148,127,20,30.0,10.0,
H004,HealthFirst Medical Institute,2025-04-26,290,256,34,33,30.0,7.0,133.0
H006,Sunrise Community Hospital,2025-10-24,264,131,133,28,33.0,8.0,93.0
H003,LifeLine Hospital,2025-07-13,162,110,52,34,23.0,0.0,115.0
H001,MedCare General Hospital,2025-02-19,477,324,153,21,38.0,6.0,136.0
H001,MedCare General Hospital,2025-03-09,477,335,142,18,27.0,7.0,97.0
H007,Unity Wellness Hospital,2025-01-05,221,169,52,23,27.0,16.0,81.0
H005,PrimeCare Hospital,2025-06-02,275,201,74,26,31.0,2.0,84.0
H004,HealthFirst Medical Institute,2025-01-22,290,274,16,33,27.0,15.0,166.0
H001,MedCare General Hospital,2025-02-18,477,298,179,24,30.0,11.0,71.0
H006,Sunrise Community Hospital,2025-01-02,264,228,36,41,26.0,9.0,59.0
H006,Sunrise Community Hospital,2025-07-07,264,194,70,26,38.0,12.0,65.0
H007,Unity Wellness Hospital,2025-05-11,221,109,112,28,24.0,4.0,98.0
H005,PrimeCare Hospital,2025-06-01,275,213,62,25,25.0,7.0,80.0
H001,MedCare General Hospital,2025-05-05,477,298,179,28,34.0,16.0,183.0
H002,CityCare Medical Center,2025-11-11,207,114,93,29,42.0,14.0,103.0
H003,LifeLine Hospital,2025-06-23,162,98,64,21,26.0,10.0,84.0
H002,CityCare Medical Center,2025-04-17,207,155,52,22,9.0,9.0,136.0
H002,CityCare Medical Center,2025-11-25,207,115,92,21,20.0,9.0,111.0
H004,HealthFirst Medical Institute,2025-10-13,290,241,49,25,20.0,10.0,105.0
H006,Sunrise Community Hospital,2025-05-17,264,148,116,26,7.0,12.0,111.0
H001,MedCare General Hospital,2025-01-26,477,467,10,17,24.0,6.0,99.0
H007,Unity Wellness Hospital,2025-09-19,221,140,81,31,13.0,13.0,148.0
H002,CityCare Medical Center,2025-08-26,207,146,61,35,12.0,3.0,96.0
H003,LifeLine Hospital,2025-05-10,162,86,76,16,16.0,9.0,88.0
H005,PrimeCare Hospital,2025-08-18,275,169,106,30,17.0,17.0,133.0
H005,PrimeCare Hospital,2025-07-22,275,168,107,46,17.0,9.0,154.0
H004,HealthFirst Medical Institute,2025-05-30,290,250,40,24,39.0,8.0,140.0
H006,Sunrise Community Hospital,2025-11-05,264,189,75,31,24.0,12.0,95.0
H003,LifeLine Hospital,2025/08/01,162,104,58,29,26.0,10.0,123.0
H007,Unity Wellness Hospital,2025-10-10,221,199,22,32,20.0,11.0,149.0
H004,HealthFirst Medical Institute,2025-12-04,290,218,72,24,13.0,11.0,90.0
H001,MedCare General Hospital,2025-12-28,477,252,225,27,11.0,11.0,155.0
H004,HealthFirst Medical Institute,2025-02-10,290,209,81,26,26.0,14.0,100.0
H004,HealthFirst Medical Institute,2025-07-24,290,222,68,32,23.0,13.0,105.0
H006,Sunrise Community Hospital,2025-04-18,264,188,76,27,25.0,7.0,96.0
H004,HealthFirst Medical Institute,2025-09-13,290,239,51,18,26.0,7.0,42.0
H005,PrimeCare Hospital,2025-11-06,275,173,102,22,20.0,9.0,146.0
H007,Unity Wellness Hospital,2025-02-27,221,163,58,14,25.0,9.0,125.0
H007,Unity Wellness Hospital,2025-08-29,221,100,121,22,15.0,13.0,148.0
H003,LifeLine Hospital,2025-02-05,162,139,23,15,33.0,10.0,139.0
H001,MedCare General Hospital,2025-08-29,477,350,127,21,28.0,9.0,121.0
H007,Unity Wellness Hospital,2025-02-20,221,183,38,13,23.0,6.0,174.0
H007,Unity Wellness Hospital,2025-11-07,221,172,49,16,16.0,5.0,114.0
H002,CityCare Medical Center,2025-10-06,207,193,14,11,18.0,6.0,148.0
H004,HealthFirst Medical Institute,2025-05-11,290,181,109,34,17.0,14.0,61.0
H001,MedCare General Hospital,2025-12-17,477,188,289,30,9.0,6.0,140.0
H007,Unity Wellness Hospital,2025-06-11,221,191,30,25,27.0,15.0,129.0
H005,PrimeCare Hospital,2025-10-09,275,219,56,26,35.0,10.0,85.0
H005,PrimeCare Hospital,2025-08-10,275,119,156,41,18.0,2.0,118.0
H002,CityCare Medical Center,2025-09-03,207,114,93,19,17.0,7.0,189.0
H004,HealthFirst Medical Institute,2025-10-03,290,169,121,18,10.0,9.0,120.0
H003,LifeLine Hospital,2025-09-07,162,116,46,11,29.0,4.0,144.0
H003,LifeLine Hospital,2025-01-17,162,133,29,18,25.0,0.0,151.0
H006,Sunrise Community Hospital,2025-08-23,264,181,83,6,32.0,6.0,137.0
H006,Sunrise Community Hospital,2025-10-10,264,151,113,33,9.0,4.0,194.0
H002,CityCare Medical Center,2025-07-27,207,135,72,28,29.0,4.0,136.0
H006,Sunrise Community Hospital,2025-02-17,264,235,29,36,25.0,8.0,164.0
H007,Unity Wellness Hospital,2025-12-08,221,201,20,35,27.0,11.0,144.0
H005,PrimeCare Hospital,2025-09-04,275,168,107,13,35.0,10.0,170.0
H006,Sunrise Community Hospital,2025-06-26,264,165,99,33,17.0,5.0,152.0
H006,Sunrise Community Hospital,2025-06-27,264,219,45,31,20.0,3.0,152.0
H007,Unity Wellness Hospital,2025-04-23,221,185,36,25,12.0,6.0,118.0
H007,Unity Wellness Hospital,2025-05-16,221,110,111,19,44.0,6.0,192.0
H003,LifeLine Hospital,2025-12-08,162,134,28,11,9.0,5.0,109.0
H005,PrimeCare Hospital,2025-01-17,275,228,47,28,17.0,7.0,110.0
H004,HealthFirst Medical Institute,2025-02-02,290,233,57,41,21.0,4.0,129.0
H001,MedCare General Hospital,2025-05-04,477,350,127,25,27.0,11.0,128.0
H003,LifeLine Hospital,2025-04-20,162,107,55,33,0.0,2.0,142.0
H002,CityCare Medical Center,2025-09-25,207,133,74,28,18.0,7.0,73.0
H002,CityCare Medical Center,2025-02-11,207,169,38,17,28.0,10.0,162.0
H003,LifeLine Hospital,2025-11-01,162,122,40,14,16.0,7.0,141.0
H002,CityCare Medical Center,2025-09-10,207,156,51,24,8.0,13.0,125.0
H003,LifeLine Hospital,2025-02-07,162,108,54,34,16.0,10.0,107.0
H002,CityCare Medical Center,2025-05-13,207,170,37,21,24.0,8.0,43.0
H005,PrimeCare Hospital,2025-07-07,275,224,51,32,36.0,5.0,81.0
H001,MedCare General Hospital,2025-12-09,477,406,71,24,30.0,0.0,98.0
H006,Sunrise Community Hospital,2025-01-01,264,192,72,29,28.0,5.0,159.0
H001,MedCare General Hospital,2025-10-27,477,458,19,41,32.0,13.0,143.0
H005,PrimeCare Hospital,2025-04-18,275,170,105,30,21.0,8.0,105.0
H002,CityCare Medical Center,2025-08-29,207,139,68,26,19.0,10.0,121.0
H007,Unity Wellness Hospital,2025-12-23,221,112,109,29,40.0,3.0,103.0
H006,Sunrise Community Hospital,2025-10-18,264,203,61,23,27.0,7.0,109.0
H006,Sunrise Community Hospital,2025-07-30,264,183,81,24,36.0,11.0,164.0
H001,MedCare General Hospital,2025-08-09,477,400,77,1,22.0,1.0,164.0
H002,CityCare Medical Center,2025-09-04,207,127,80,20,14.0,9.0,104.0
H006,Sunrise Community Hospital,2025-05-19,264,196,68,25,15.0,9.0,164.0
H003,LifeLine Hospital,2025-12-15,162,103,59,26,25.0,9.0,63.0
H001,MedCare General Hospital,2025-03-26,477,461,16,39,31.0,8.0,145.0
H006,Sunrise Community Hospital,2025-12-12,264,162,102,30,20.0,8.0,87.0
H001,MedCare General Hospital,2025-09-24,477,431,46,34,35.0,8.0,125.0
H006,Sunrise Community Hospital,2025-09-13,264,188,76,24,24.0,13.0,103.0
H001,MedCare General Hospital,2025-10-18,477,361,116,38,44.0,9.0,142.0
H003,LifeLine Hospital,2025-10-27,162,119,43,24,29.0,8.0,133.0
H005,PrimeCare Hospital,2025-10-18,275,227,48,29,20.0,11.0,93.0
H002,CityCare Medical Center,2025-02-21,207,149,58,29,5.0,3.0,97.0
H002,CityCare Medical Center,2025-04-18,207,123,84,14,32.0,2.0,94.0
H003,LifeLine Hospital,2025-04-10,162,65,97,28,19.0,8.0,129.0
H006,,2025-10-16,264,144,120,35,20.0,11.0,185.0
H007,Unity Wellness Hospital,2025-10-21,221,155,66,20,34.0,9.0,113.0
H007,Unity Wellness Hospital,2025-01-03,221,80,141,14,26.0,6.0,131.0
H006,Sunrise Community Hospital,2025-06-08,264,199,65,35,22.0,6.0,123.0
H003,LifeLine Hospital,2025-07-19,162,148,14,13,11.0,8.0,110.0
H006,Sunrise Community Hospital,2025-06-04,264,165,99,21,36.0,7.0,157.0
H001,MedCare General Hospital,2025-10-06,477,369,108,19,25.0,17.0,105.0
H004,HealthFirst Medical Institute,2025-11-23,290,195,95,9,5.0,8.0,134.0
H004,HealthFirst Medical Institute,2025-11-24,290,174,116,26,16.0,14.0,162.0
H004,HealthFirst Medical Institute,2025-08-11,290,212,78,36,16.0,7.0,130.0
H001,MedCare General Hospital,2025-01-19,477,348,129,32,21.0,6.0,104.0
H005,PrimeCare Hospital,2025-10-08,275,250,25,20,29.0,3.0,189.0
H005,PrimeCare Hospital,2025-01-18,275,208,67,22,27.0,10.0,153.0
H005,PrimeCare Hospital,2025-07-13,275,191,84,31,17.0,4.0,151.0
H003,LifeLine Hospital,2025-10-08,162,130,32,27,21.0,10.0,71.0
H003,LifeLine Hospital,2025-08-24,162,121,41,25,31.0,12.0,77.0
H003,LifeLine Hospital,2025-01-30,162,110,52,23,16.0,9.0,79.0
H003,LifeLine Hospital,2025-04-19,162,124,38,27,4.0,14.0,24.0
H002,CityCare Medical Center,2025-08-23,207,150,57,27,26.0,4.0,113.0
H006,Sunrise Community Hospital,2025-08-08,264,231,33,23,27.0,0.0,170.0
H006,Sunrise Community Hospital,2025-07-09,264,176,88,16,27.0,12.0,156.0
H004,HealthFirst Medical Institute,2025-02-03,290,236,54,20,34.0,0.0,150.0
H004,HealthFirst Medical Institute,2025-12-22,290,220,70,19,31.0,13.0,148.0
H001,MedCare General Hospital,2025-08-08,477,338,139,25,31.0,1.0,133.0
H002,CityCare Medical Center,2025-08-25,207,115,92,28,32.0,2.0,101.0
H005,PrimeCare Hospital,2025-03-14,275,243,32,26,29.0,6.0,155.0
H006,Sunrise Community Hospital,2025-08-27,264,219,45,34,33.0,2.0,202.0
H001,MedCare General Hospital,2025-10-31,477,336,141,37,15.0,11.0,194.0
H006,Sunrise Community Hospital,2025-01-06,264,210,54,26,28.0,12.0,108.0
H002,CityCare Medical Center,2025-11-27,207,117,90,32,33.0,0.0,175.0
H003,LifeLine Hospital,2025-02-27,162,124,38,34,21.0,3.0,89.0
H004,HealthFirst Medical Institute,2025-09-03,290,250,40,23,12.0,0.0,110.0
H001,MedCare General Hospital,2025-12-11,477,372,105,22,28.0,11.0,82.0
H007,Unity Wellness Hospital,2025-07-22,221,159,62,25,16.0,4.0,86.0
H006,Sunrise Community Hospital,2025-06-24,264,231,33,9,27.0,6.0,145.0
H003,LifeLine Hospital,2025-09-01,162,83,79,26,25.0,8.0,99.0
H002,,2025-12-09,207,188,19,30,23.0,5.0,113.0
H004,HealthFirst Medical Institute,2025-10-18,290,162,128,25,23.0,4.0,77.0
H005,PrimeCare Hospital,2025-10-14,275,183,92,23,8.0,10.0,57.0
H004,HealthFirst Medical Institute,2025-12-13,290,214,76,27,13.0,14.0,166.0
H004,HealthFirst Medical Institute,2025-09-19,290,250,40,25,21.0,9.0,147.0
H004,HealthFirst Medical Institute,2025-04-27,290,261,29,25,45.0,13.0,143.0
H004,HealthFirst Medical Institute,2025-03-06,290,205,85,49,28.0,7.0,94.0
H001,MedCare General Hospital,2025-07-12,477,380,97,35,29.0,9.0,116.0
H001,MedCare General Hospital,2025-06-24,477,333,144,18,18.0,3.0,118.0
H003,LifeLine Hospital,2025-08-08,162,111,51,26,17.0,4.0,123.0
H007,Unity Wellness Hospital,2025-06-17,221,165,56,19,36.0,13.0,147.0
H006,Sunrise Community Hospital,2025-12-10,264,149,115,16,28.0,5.0,104.0
H006,Sunrise Community Hospital,2025-06-30,264,236,28,26,10.0,7.0,116.0
H003,LifeLine Hospital,2025-02-12,162,107,55,18,22.0,8.0,105.0
H001,MedCare General Hospital,2025-05-09,477,324,153,38,11.0,7.0,110.0
H001,MedCare General Hospital,2025-12-07,477,363,114,28,32.0,11.0,136.0
H007,Unity Wellness Hospital,2025-04-01,221,154,67,19,15.0,6.0,135.0
H002,CityCare Medical Center,2025-12-21,207,177,30,17,26.0,13.0,110.0
H003,LifeLine Hospital,2025-11-28,162,137,25,23,17.0,5.0,80.0
H001,MedCare General Hospital,2025-11-04,477,252,225,29,14.0,6.0,5.0
H002,CityCare Medical Center,2025-01-19,207,135,72,18,22.0,6.0,101.0
H006,Sunrise Community Hospital,2025-06-18,264,205,59,21,24.0,8.0,90.0
H007,Unity Wellness Hospital,2025-07-07,221,179,42,24,22.0,7.0,91.0
H005,PrimeCare Hospital,2025-01-15,275,204,71,25,8.0,7.0,138.0
H001,MedCare General Hospital,2025-06-27,477,449,28,29,28.0,7.0,164.0
H002,CityCare Medical Center,2025-03-03,207,159,48,25,28.0,11.0,105.0
H005,PrimeCare Hospital,2025-02-17,275,162,113,21,18.0,0.0,107.0
H006,Sunrise Community Hospital,2025-01-15,264,141,123,37,4.0,14.0,101.0
H003,LifeLine Hospital,2025-03-31,162,96,66,29,22.0,6.0,122.0
H003,LifeLine Hospital,2025-08-23,162,113,49,23,23.0,5.0,117.0
H001,MedCare General Hospital,2025-07-04,477,404,73,16,18.0,9.0,167.0
H005,PrimeCare Hospital,2025-08-29,275,269,6,21,21.0,16.0,65.0
H007,Unity Wellness Hospital,2025-04-20,221,157,64,21,22.0,6.0,102.0
H005,PrimeCare Hospital,2025-09-23,275,204,71,22,29.0,12.0,92.0
H002,CityCare Medical Center,2025-10-31,207,166,41,23,33.0,4.0,81.0
H007,Unity Wellness Hospital,2025-07-19,221,160,61,29,17.0,3.0,71.0
H006,Sunrise Community Hospital,2025-09-16,264,183,81,35,30.0,9.0,120.0
H003,LifeLine Hospital,2025-07-19,162,148,14,13,11.0,8.0,110.0
H002,CityCare Medical Center,2025-05-05,207,155,52,27,17.0,8.0,92.0
H006,Sunrise Community Hospital,2025-04-25,264,164,100,25,33.0,11.0,60.0
H005,PrimeCare Hospital,2025-06-13,275,192,83,16,22.0,10.0,120.0
H007,Unity Wellness Hospital,2025-05-07,221,155,66,28,27.0,7.0,142.0
H006,Sunrise Community Hospital,2025-03-06,264,134,130,18,20.0,6.0,149.0
H007,Unity Wellness Hospital,2025-07-15,221,161,60,44,19.0,10.0,86.0
H005,PrimeCare Hospital,2025-04-10,275,237,38,14,25.0,7.0,46.0
H006,Sunrise Community Hospital,2025-04-27,264,164,100,37,13.0,12.0,76.0
H001,MedCare General Hospital,2025-04-29,477,347,130,21,26.0,10.0,161.0
H005,PrimeCare Hospital,2025-06-27,275,154,121,29,29.0,11.0,157.0
H001,MedCare General Hospital,2025-10-09,477,300,177,13,21.0,13.0,109.0
H007,Unity Wellness Hospital,2025-02-25,221,85,136,46,21.0,15.0,120.0
H005,PrimeCare Hospital,2025-11-01,275,210,65,35,18.0,10.0,155.0
H006,Sunrise Community Hospital,2025-04-19,264,230,34,24,16.0,7.0,130.0
H007,Unity Wellness Hospital,2025-07-25,221,122,99,26,26.0,3.0,209.0
H005,PrimeCare Hospital,2025-10-22,275,185,90,37,29.0,5.0,177.0
H003,LifeLine Hospital,2025-03-20,162,120,42,31,26.0,2.0,157.0
H004,HealthFirst Medical Institute,2025-03-25,290,200,90,30,11.0,3.0,138.0
H002,CityCare Medical Center,2025-01-02,207,166,41,26,26.0,12.0,95.0
H004,HealthFirst Medical Institute,2025-11-25,290,193,97,39,17.0,7.0,147.0
H002,CityCare Medical Center,2025-07-10,207,141,66,22,23.0,8.0,139.0
H004,HealthFirst Medical Institute,2025-08-04,290,208,82,34,18.0,10.0,108.0
H006,Sunrise Community Hospital,2025-07-13,264,176,88,15,16.0,0.0,115.0
